lat,lon,time,H1000,H850,PBLTOP,PS,SLP,T10M,T2M,T2MDEW,T850,TS,U10M,U2M,U50M,V10M,V2M,V50M
48.0,5.0,2014-01-01 05:30:00,112.78196,1428.048,95685.55,97488.83,101375.69,277.1999,276.98422,276.7544,272.44266,276.533,2.0510464,1.3672482,3.2904944,4.020481,2.6783545,6.188294
48.0,5.0,2014-01-01 06:30:00,113.47034,1428.0182,94118.7,97491.76,101385.43,277.1479,276.94186,276.6419,272.55478,276.53363,1.5130574,1.0126822,2.4786167,4.353152,2.9102306,6.6575575
48.0,5.0,2014-01-01 07:30:00,113.198975,1427.6505,91410.11,97485.66,101382.734,277.2138,277.03174,276.598,272.56998,276.68546,1.2496234,0.84445935,2.0651712,4.9363995,3.3348093,7.2533956
48.0,5.0,2014-01-01 08:30:00,112.70684,1428.2053,92789.14,97481.734,101376.7,277.4428,277.3364,276.6891,272.64163,277.1743,0.65575933,0.4494819,1.1276522,5.413662,3.7095642,7.426802
48.0,5.0,2014-01-01 09:30:00,108.29377,1426.56,93208.45,97428.125,101321.78,277.71704,277.68503,276.81152,272.97754,277.6925,-0.0990158,-0.06840007,0.14898503,5.6410627,3.9078538,7.387542
48.0,5.0,2014-01-01 10:30:00,103.268005,1424.8423,95724.16,97372.5,101259.85,278.08755,278.13724,277.13037,273.46185,278.34375,-0.5601571,-0.3915375,-0.5168369,5.689184,3.978126,6.970748
48.0,5.0,2014-01-01 11:30:00,97.52935,1421.9072,93696.04,97306.01,101188.47,279.07764,279.24994,277.6911,273.91232,279.88513,-0.05873263,-0.041727006,0.20807385,6.5894723,4.647727,8.119319
48.0,5.0,2014-01-01 12:30:00,90.78265,1417.4042,94736.766,97228.83,101103.94,280.00934,280.15265,278.19626,274.3978,280.576,0.1555376,0.10923532,0.42946023,6.8023343,4.7847323,8.389473
48.0,5.0,2014-01-01 13:30:00,83.81656,1412.3589,92559.47,97150.125,101016.97,280.38626,280.375,278.49936,274.8797,280.2823,-0.10506481,-0.07160252,0.11913967,6.645672,4.6143103,8.637644
48.0,5.0,2014-01-01 14:30:00,79.12008,1409.1477,93906.84,97100.25,100957.875,280.1181,279.9392,278.57465,275.16608,279.4347,-0.7498455,-0.5121827,-0.77478826,6.529463,4.4643703,9.136925
48.0,5.0,2014-01-01 15:30:00,74.727585,1406.3036,94856.34,97057.1,100903.266,279.69897,279.42212,278.5116,275.39215,278.75275,-1.125716,-0.7656517,-1.3106515,6.9955,4.755227,10.014493
48.0,5.0,2014-01-01 16:30:00,68.24256,1401.3865,94497.85,96984.58,100823.234,279.47964,279.21124,278.46268,275.65076,278.6601,-1.4039382,-0.95876956,-1.6111541,7.741151,5.285526,10.879478
48.0,5.0,2014-01-01 17:30:00,60.337864,1394.57,95381.58,96894.73,100726.15,279.35446,279.12335,278.28073,275.95502,278.5906,-1.3499087,-0.926154,-1.4446111,8.427392,5.78033,11.486836
48.0,5.0,2014-01-01 18:30:00,52.94667,1387.6978,95303.34,96813.67,100636.22,279.16806,278.94006,277.97913,276.27252,278.41522,-1.0577295,-0.72627014,-1.0188988,8.785752,6.0319214,11.944843
48.0,5.0,2014-01-01 19:30:00,45.8215,1381.149,94843.33,96737.89,100549.73,279.15744,278.91675,277.8106,276.39136,278.411,-0.8269193,-0.56833017,-0.647931,9.095628,6.2492113,12.417085
48.0,5.0,2014-01-01 20:30:00,39.301315,1375.5137,94378.2,96668.68,100470.55,279.3562,279.09457,277.86432,276.52704,278.52917,-0.349051,-0.23932847,0.053446233,9.371536,6.4334455,12.829649
48.0,5.0,2014-01-01 21:30:00,34.376076,1370.1633,94303.266,96611.6,100410.875,279.47937,279.2347,278.0384,276.41046,278.70993,0.08638176,0.05974883,0.66579,9.55507,6.566369,13.037901
48.0,5.0,2014-01-01 22:30:00,31.101477,1365.8629,92940.78,96580.18,100371.32,279.6478,279.4107,278.2987,276.3048,278.91962,0.98845446,0.68055785,1.9235942,10.105437,6.955668,13.649446
48.0,5.0,2014-01-01 23:30:00,26.445946,1360.6985,93067.27,96522.42,100315.59,279.96234,279.7161,278.62326,276.36896,279.1967,1.5390418,1.0600035,2.5781767,10.425262,7.179117,13.978599
48.0,5.625,2014-01-01 00:30:00,111.62705,1431.1536,89376.84,97118.414,101352.34,276.07623,275.935,275.3575,274.4342,275.67838,4.376419,3.0066369,6.420926,5.9325037,4.072718,7.9933624
48.0,5.625,2014-01-01 01:30:00,112.85315,1431.9766,91924.16,97131.72,101369.17,276.1804,276.027,275.5963,273.72134,275.6836,3.7177594,2.5406244,5.3406873,5.2980957,3.6200938,7.1924434
48.0,5.625,2014-01-01 02:30:00,113.34558,1431.9457,95008.414,97134.7,101376.75,276.12006,275.9615,275.62463,273.22028,275.62427,3.1291263,2.1317804,4.497179,5.0196013,3.4191093,6.9000626
48.0,5.625,2014-01-01 03:30:00,114.06051,1431.6882,93108.72,97140.27,101386.94,276.28116,276.112,275.80154,272.95035,275.77856,2.7300968,1.8522593,4.102428,4.6509266,3.1529691,6.5408773
48.0,5.625,2014-01-01 04:30:00,115.214,1431.9167,91843.625,97149.79,101401.92,276.43436,276.23828,275.97638,272.80353,275.82687,2.6938415,1.8168799,4.2397504,4.592457,3.1012778,6.646033
